품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,diags_small_id
Mixed(혼합),MN              ,건강검진,E_24시아이, 건강검진 보호자 주 호소사항 눈꼽이 자주껴요. 귀를 긁어요. 집근처 병원에서는 약만 주고 별다른 설명이 없어요 stt test 양측 모두 time 정도 검안경 각막 정상. 특이사항 없음. 귀도말검사 검이경 이도 정상. 심장사상충 검사 음성 혈액검사 모두 정상 주인이 번바뀐 상태. 이전까지 사료가 아닌 사람음식을 먹고 생활했음. 현재도 사료 잘 안먹음. 육식에 치우치 영양 불균형이 발생하면.소양감을 동반한 피부병이 발생할수 있습니다. 현재 보호자 노력으로 식단이 많이 개선되기 했으나.육륫섭취는 더 줄이는게 좋겠습니다. 귀 청소시.면봉 쓰지 마세요. 안약은 month 간 사용후 눈꼽개선되면 끊이시고.다시 재발하면 재진 하겠습니다. ,,,,,,,356,9
Pomeranian(포메라이안),F,2185,B_W,rt hindlimb pain bi mpliii 오늘 통증이 있는지 집에서 나오지 않음 현재는 촉진시에 통증을 많이 느낌 금일 bi mpl수술을 진행함 tx s pain control ketamine time kg lidocaine time kg maintenous fluid cefradine time kg tid cimetidine time kg tid tramadole time kg tid enrofloxacin time kg bid taurine time head sid methocarbamole time kg tid vita b.c 각 ample head ,2158,, 슬개골 (아) 탈구 ,근육 골격 질환 ,,,318,7
친칠라,MN,2095,C_잠실ON,cc month 전 부터 urinary incontinance. dribbling. 식욕저하. 활력저하. ,,9, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,배뇨실금,배뇨실금,59,2
Maltese(말티즈),MN,2126,B_W,hx month time 전신 발작 증상으로 춘천 현대 동물병원 입원 항경련제 항생제 스테로이드성 소염제 등 투여하며 입원 치료하다가 month time 퇴원 퇴원 후 집에서 빙글빙글 돌고 머리를 벽에 부딪치는 행동 보여 항경련제 증량 month time 전신 발작 증상 재발하여 다시 춘천 현대 동물병원 입원 이후 발작 증상은 없었으나 잠을 많이 자고 목적 없이 앞으로 걸어가는 행동 보임 오른쪽 눈 안구건조증 및 각막미란 관련 안약 투여 어제 보호자가 본원으로 진료 문의 한만길 원장님 전화 상담 후 오늘 본원으로 이동 본원으로 이동 전 소리지르고 흥분하여 춘천 현대 동물병원에서 diazepam acepromazine 투여 후 이동 hct month time month time month time month time plt month time mcl month time mcl month time mcl month time mcl wbc month time mcl month time mcl month time mcl month time mcl bun month time month time month time month time month time crea month time month time month time month time month time ip month time month time month time alt month time month time month time month time ast month time month time month time month time month time alp month time month time month time month time month time pe mentation stupor hr bpm rr time pm bt sbp time hg severe dental tartar gingival recession bloodwork cbc anemia hct thrombocytopenia mcl leukocytosis mcl rpi non regenerative chemistry increased alt ast alp amyl lipa ip and ck decreased alb and ca normal ionized ca electrolytes mild hypernatremia and hypokalemia increased na ratio blood gas ph pco hco etc. crp reference range coagulation profile dimer reference range fibrinogen reference range aptt reference range pt reference range x ray vhs increased radiopacity of the lung fields radiopaque calculi in the left ureter urinary bladder and urethra echocardiography mitral valve degeneration mitral regurgitation mr pgmax time hg tricuspid regurgitation tr pgmax time hg mv epss time lv fs increased lvidd time lvids time la ao ratio pv pgmax time hg a ratio abdominal ultrasonography hyperechoic lesions in the splenic parenchyma hyperechoic round mass in the hepatic parenchyma echogenic bile in the gall bladder lumen hyperechoic material with acoustic shadowing in the left ureter hydroureteronephrosis due to the left ureterolith hyperechoic materials in the urinary bladder lumen length of the kidneys left time right time diameter of the adrenal glands left time right time ophthalmic exam stt time min od time min os fluorescein stain test positive ou 보호자 상의 후 마취 위험성 있으나 진단 위해 내일 mri 및 ct 촬영하기로 함 tx fluid therapy with nacl dextrose kcl time eq ornipural taurine vitamin vitamin fr time kg hr phenobarbital time kg bid iv slowly cefazolin time kg tid iv slowly cimetidine time kg tid iv slowly sodium hyaluronate eye drops h ou serum eye drops h ou tobramycin eye drops h ou acetylcysteine eye drops h ou ,"2092, 2137","4,16", 경련 발작 (원인 미정) , 신경 질환 ,"통증,발작",통증,2526,4
Shih Tzu(시추),FS              ,2133,F_센트럴, 사경 안구진탕 아침엔 별 이상없었는데 밤에 귀가하여 보니 증상발현 작년에 중성화 양측 외이도 만성염증 vestibule synd. 발생 원인 확인 위해 mri 촬영 권장 익일 오후 time 경 이안 mri 촬영 보호자 동반 예약 보호자분 mri 촬영 취소 증상이 완전히 해소되지 않을 수 있음을 고지 증상 호전 시까지 최소 month 소요 각막궤양 및 기저질환 발현의 가능성 고지 말초성으로 준하여 치료 시행키로 ,,"40,0", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"신경증상(이상행동),기타 증상",신경증상(이상행동),232,5
Maltese(말티즈),FS,2275,B_W,집에서 부부싸움과정에서 집어던졌다고함 내원시 두경부에 혈액이 묻어있었으나직접적상처에 의한 출혈이 아니고 보호자의 혈액인듯함 처음내원시 약간 흥분 약간 공격적이었으나 좀뒤에는 얌전해짐 일단 입원치료하면서 지켜보기로함 방사선상과 외관상 신체검사시 특이소견은 관찰되지 않음. dimer만 상승. 전반적인 상태양호. 내일 오전에 dimer와 전해질 재검하고 퇴원 고려. ,,15, 사고 (교통 사고 포함) ,전신성의 질환,출혈,출혈,203,8
Mixed(혼합),MN,2092,D_VIP, refer. 주호소 방광결석 현증경과 의뢰병원에서 방사선 검사상 방광 요도내 결석 발견. 핍뇨 빈뇨 혈뇨 오래전 관찰되기 시작했고 최근 혈뇨 심해짐. 구토 설사 증상 없음. 알러지성 피부염 있어 알러지 사료 급여중. 고구마 양배추 브로콜리 정도 급여중. 예방접종 부스팅 접종 되어 있지 않음. 사상충예방 안되어 있으심. 사료 연어사료 one 신체검사 mental alert hr min bcs mmc pink crt 탈수평가 혈액검사 chemistry alt mild elevated cbc nrf hw negative 영상검사 cxr nrf axr 방광내 결석 약 개 요도내 개 관찰됨. 복부초음파 by hyuna findings 양측 신장 실질 양호 다발성 미세 결석 방광 벽 비후는 심하지 않으나 time 방광 배쪽벽에서 다수의 폴립 관찰됨 방광 내 다수의 결석 관찰됨 최대 time imaging dx ddx urolithiasis polypoid cystitis dx ddx urolithiasis 결석제거 수술 내일 예정. 결석제거 수술시 방광 mass 체크하여 필요시 조직검사 예정. 결석성분검사 진행합니다. rx 식이 d can bid tx 수액처치 ns 유지 주사제 cephalexin time kg iv bid famotidine time kg iv bid tramadol time kg iv bid 내일 수술 진행. ,요도 결석,"902,901,8", 방광 결석 , 비뇨기과 질환 ,"핍뇨/무뇨,배뇨장애(통증, 곤란), 빈뇨, 이소배뇨,혈뇨",핍뇨/무뇨,693,1
Chihuahua(치와와),MN              ,2170,D_VIP, 적립금 모두사용 money 식욕 활력 양호 배변 배뇨 양호 금식완료 혈액 검사 정상 흉부 방사선 상에서 심장 la 약간 비대 확인 청진시 심잡음 확인 bp time hg 심장초음파 by hyuna findings mv remodeling moderate mr moderate to severe la 확장 기능저하 압력 증가 등은 관찰되지 않음 ddx degenerative mirtal vlave disease comment mr 있으나 cardiac remodeling 관찰되지 않습니다. 치과치료 by 최이돈 원장님 치주염에 의한 발치 money money money 좌측 상악 송곳니 palatal side 치조골 depth 손상 amox cla time kg strepto time kg bid days 불린사료 month 동안 일주일 후 치아 재진 month 뒤 심장 초음파 재진 ,2001,15, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,출혈,출혈,443,6
Pekingese(페키니즈),MN,2092,C_잠실ON, 혈뇨와 관련하여 방광결석이 혈뇨의 주 원인일 것으로 판단. 요도안에는 아직 없으나 방광내 요도쪽으로 가득 차있어 수컷인 점을 감안 빠른 수술적 교정이 필요할 것으로 보임. 방광결석 제거 수술 time 가량의 결석 개 방광 중간에 위치한 것만 제거 못함 보호자 결석이 상피세포와 붙어있을 가능성이 있고 제거하려고 했지만 잘 안되었다. 더이상 건들면 방광벽 파열 등의 차적인 문제가 발생할 수 있으므로 그냥 남겨놓을수 밖에 없었다,,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,239,1
K.C(Korean Cat),MN,2170,A_라라,s 좌측 하악 송곳니 상악 하악 어금니 우측 상악 하악 어금니 치은염. forl 가능성 설명 마취전 검사 진행하고 day 에 스켈링 잇몸 치료 방사선 검사 후 필요하면 발치 발치의 조건 흔들린다. 치아가 녹고 있다 구강 문제 day 에 내원하여 치료 진행할 예정임. 오전에 아드님이 오셔서 맡길 예정이고 오후에 보호자님 오실 예정 되도록이면 발치 원하지 않음 sdma 검사도 해야 함 ,,4,,,통증,통증,215,6
Boykin Spaniel(보이킨 스파니엘),M,2170,B_W,금일 ct검사를 진행하기 위해 내원함 month 후 내원하여 귀.코.치아 관련하여 수술을 진행하기로함 ,2164,61, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,구내염,구내염,57,6
Maltese(말티즈),MN,2170,C_잠실ON,금일 검사상 우측 상악 작은어금니 흡수성 병소 보이나 치아뿌리가 양호하여 유지시킴 내복약 month 복용하기로 하였으며 주기적인 관리 안내드림 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,80,6
Shih Tzu(시추),MN              ,2133,F_센트럴, history 심장약 투약 중 최근 실신 혹은 경련 증상 반복 모견 경련 후 사망 소견 이후 선회 및 peddaling 증상으로 미루어 신경증상 의심됨 month 전부터 설사 혈액성 설사 오렌지 동물병원에서 심인성 폐부종으로 판단되어 이뇨 처방 계속 받고 있음 objective no pulmonic edema astasia recumbency stupor mental plr tactile severely elevated liver enz. hyperphosphatemia elevated renal enz. ce mortality rate 이상 dnr ,,"40,1601,33", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"신경증상(이상행동),실신,떠는 증상, 경련 또는 미진",신경증상(이상행동),312,5
K.C(Korean Cat),MN              ,2095,D_VIP, money 결제완료 효정 폐쇄형 방광염으로 인해서 동사병원에서 요도개통이후 소변을 조금씩 보다가 다시 소변을 잘 못보는것 같다고 하셔서 본병원으로 내원주셨습니다 영상검사 심한 방광팽만 결석없음. 초음파상 슬러지는 그다지 많이 보이지않음 뇨검사 약간의 혈뇨 세균 크리스탈등은 보이지않음 혈액검사 신장수치 상승. 염증수치 상승 flutd중 fic로 확인됩니다. 완치가 아닌 관리의 질환이고 만약 증상이 반복해서 일어난다면 요도구 성형술이 필요할수 있습니다. 주사마취하 요도캐통 및 카테터 설치 입원치료 진행합니다. 매일 신장수치 평가 및 요도플러싱 진행 day 까지 입원후 개통여부 평가후 퇴원여부 결정할 예정입니다. ,,901, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"배뇨장애(통증, 곤란), 빈뇨, 이소배뇨","배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",345,2
Old English Sheepdog(올드 잉글리쉬 쉽도그),MN,건강검진,C_잠실ON,특이소견 치아 에나멜 결손 어릴적 걸렸던 홍역 원인으로 판단됨 우측 후지 고관절 이상소견 보행 이상여부 체크하시라고 설명드림 ,,,,,,,70,9
Chihuahua(치와와),F,건강검진,B_W,hx 미용 후 건강 검진 희망 활력 배뇨 배변 상태 양호 간헐적으로 가벼운 기침 증상 한두 달에 한 번 정도 황색 액체성 구토 최근 사료 변경 후 섭식량 다소 감소 예방 접종은 어릴 때 기초 접종 이후 추가 접종 미실시 심장사상충 예방약은year month 까지 투여 pe bar bcs hr bpm rr time pm bt sbp time hg crt sec remnant of deciduous tooth mild conjunctival hyperemia ou no ocular discharge ou normal menace response ou normal pupil size pupillary light reflex ou bilateral medial patellar luxation grade generalized skin scales otoscopy yellowish brown cerumen au bloodwork cbc within normal limits chemistry mildly increased ast and ck mildly decreased tchol tg and ca electrolytes mild hypernatremia normal na ratio blood gas ph pco hco x ray vhs mild bronchial pattern radiopaque materials suspected chicken bone dog snack in the stomach antibody titer test cpv ab cdv ab heartworm test idexx dx test kit all negative microfilaria test negative otic swabs few malassezia au 종합 백신 회 접종 후 항체가 검사 재검 다른 백신은 회씩 보강 접종 결막 충혈 지속 시 안과 검사 필요 추후 유치 좌측 상악 견치 발치 필요 양측 슬개골 탈구 관련 체중 관리 필요 귀 분비물 관련 정기적 귀 세정 필요 tx dhpp ccv vaccination ear cleaning rx heartgard plus glycozoo otic cleanser ,"2134, 2185",,,,,,1068,9
Pomeranian(포메라이안),MN,2185,C_잠실ON,양측 슬개골 탈구 왼쪽 기 오른쪽 기 치석 다수 형성 스케일링 해야함 추가 비용발생할수 있다고 말씀드렸어요 ,,23, 슬개골 (아) 탈구 ,근육 골격 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",60,7
Chihuahua(치와와),M,2048,A_라라,s 정상변 끝에 혈변을 봤음 분변검사시 세포가 떨어져 나와있었고 호중구 대식구 적혈구 등의 염증세포들 다량 확인됨 간균도 확인됨 지알디아 음성 분변검사 대식구 호중구 간균 나선균등 cbc 상승 전해질 이상 없음 간균성 장염 염증성 수액 time 정도 맞고 퇴원 저녁부터 약복용 음식은 time 이후 부터 소량씩 자주 설사는 몇 차례 더 할 수 있고 나을 때는 변을 month 정도 안보다가 끈적한 변을 보면서 정상변으로 회복될 것 ,,2,,,설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),241,0
Mixed(혼합),FS,2116,D_VIP, money 결제하심 미리 특이사항 없음. chem nrf 전해질 nrf cbc nrf crp normal range cxr nrf 복강내 매스 음영 살짝 보임 초음파 자궁확장 방광벽비후 난소낭종 자궁은 현재점액종 상태로 보이며 축농증으로 발전 가능성 있습니다. 자궁적출술 진행하고 양측 전적출대신 좌측 편측 전적출로 진행하고 lumpectomy 진행 예정. sx 마취 불안정으로 자궁적출 및 편측전적출만 진행 우측 종양제거는 진행못함. 합병증 없으면 총 비용은 에 맞춰주기로함. 췌장염 혈전증 패혈증 등의 합병증 발생시 비용 추가 발생 안내드림. 주치의 부재로 김혜정선생님께 인계 안내드림. crp 혈압 모니터링. ,,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",345,3
Coton de Tulear(꼬통 드 툴레아),F,2170,B_W,스켈링 좌측 상악 앞니 번 작은어금니 번 상태 불량 좌측 하악 작은 어금니 번 상태 불량 우측 상악 번 앞니 상태 불량 추후 스켈링시에 발치 가능성 있음 내복약 month 먹일것. ,,,,,,,101,6
Domestic short hair(코숏),FS              ,2170,H,s 일주일 전엣 설사 한달 회 설사 보임 식이 활력 이상 없음 다음 다뇨 증상 없음 치아체크 같이 원하심 bcs 혈액검사 콜레스테롤 증가. alt 증가 방사선 검사 특이소견 없음 심초음파검사 심장 기능 변화 없음 복부초음파 검사 특이소견 없음 췌장주위 cm 크기의 종괴 확인 치아 상태 양호 치석 심하지 않음 심장사상충 키트 광견병관납 종합 백신 실시 심장사상충 예방 실시 심초음파 좌심실 좌심방 크기 정상 mode ivsd lvpwd doppler 조직 도플러 septal cm lateral cm interpretations hcm 으로 생각되지 않음. 복부 초음파 검사 췌장 좌측엽 근위부 저에코성 타원형의 종괴 관찰 크기 . lhw mm 관찰됨. ddx. nodular hyperplasia adenocarcinoma ct촬영 및 fna 검사 추천 췌장부위 종괴 ddx. 췌장 양성 결절 종양 농양 month 간격 복부초음파 재검 증상 보이는지 체크 진단을 위해서는 ct fna 조직검사 필요 다이어트 필요 세타이어티 사료 동거묘 같이 먹이시고 관리하시도록 안내함 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,544,6
Maltese(말티즈),F,2133,B_W,비명소리가 들려서 가보니까 대소변을 보고 쓰러져 있었음. 그상태에서 바둥거리고 있었음 이후에 약을 먹고나서 안정을 찾음 신부전관련한 약을 먹이고 계심 중성화수술을 하려고 검진과정에서 신부전이 확인됨 year 전에 급성췌장염 회 작년에 급성췌장염이 다시 재발하였음 중성화수술은 못시키심 plr 정상 원내에서 신경증상 관찰되지 않음 us end stage kideny gb sludge hydrocephalus upc bun crea pi 임상증상의 원인으로 intracranial disease가능성이 높음 익일 azotemia개선 여부에 따라 mri 촬영 예정 tx nac tathione ,"2087, 2121",, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,,,330,5
