품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,symptoms_id
Pomeranian(포메라이안),F,2021,C_잠실ON, 기관협착 서혜부 허니아 비환납성 통증 및 추가적인 합병증 가능. 초음파 검사 및 lactate 검사 예정 안구건조증 행동변화 뇌병변이 발생했을 가능성 배제할 수 없음 양측 신장 결석 우측 간엽 주변 에코 증가 및 장 변위 사항있음 초음파 검사상 우측 부신 가능성 있음. cc 불안해함 평소에 기관지 협착 있음 year 전에 캐나다에서 들어오심 최근에는 잠만 많이 잤었음 month ,,5, 기관 허탈 , 호흡기 질환 ,기침,기침,214,4
Poodles(푸들),MN,2071,C_잠실ON,cc 잦은 구토 어제 배변할때 혈액 보임 변은 정상 구토 내용물 주로 위액 평소에 불규칙한 식습관 가짐 혈액검사상 특이소견 없음 방사선 검사상 일부 밀도 상승부가 보임 향후 내시경 검사 초음파 검사 등 추천드림 일단 식생활 개선을 최우선으로 해주시라고 안내드림 ,,1, 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,구토(급성/만성),구토(급성/만성),146,0
Shih Tzu(시추),MN              ,2046,F_센트럴,식도이물 소고기 목뼈 간식 lc refer 혈액검사 crp 상승 mild ray 식도이물 tx 내시경으로 위내로 밀어넣음 식도 염증 확인 ,x,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,77,10
Chihuahua(치와와),MN              ,2259,F_센트럴,hx time 쯤 전 화장품 닥터자르트 시카페어 크림 반정도 섭취 성분들은 소화기 차트에 내원전 과산화수소 time정도 먹이심 별다른 증상은 없음 pe bar 활성탄 투약 bw cre tg 상승 month 정도 입원하면서 치료진행 ,X,25, 다른 중독 질환 ,전신성의 질환,이물,이물,129,10
Yorkshire Terrier(요크셔 테리어),MN              ,2185,D_VIP, 전신상태 nrf mild 탈수 bcs alert no murmur no crackle p 안과 os 홍채변성 및 렌즈와 유착 plr 시력 망막 관찰 어려움 stt 안구위축 안압os 이전 포도막염에 속발되어 홍채의 변성 및 각막궤양 동반됬을 가능성 존재 우측 핵경화증 stt 안압od 양측 각막형광염색 근골격계 신체검사상 좌측 상완 견갑 관절통 초음파 방광벽 비후 심하지 않음 좌측 상완 견갑부위 tenosynovitis 예상 소염제 처방 필요할 것으로 예상 슬개골탈구 비뇨기 소변검사 채취시 혈액혼입 결석성분 관찰 어려움 적혈구만 다량 관찰 rad 작은 좌측 신장 결석 방광결석 존재 초음파 방광벽 비후 심하지 않으나 슬러지형 결석 신장에 결석 소량 존재 신우부분에 존재하진 않음 이전 결석 ca oxalate 관련하여 지속적 관리 필요 초음파 소견 다 적혀있어서 따로 안적을게요 현아 치과치료 money 스켈링 마취 치과방사선 진행 예정 ,2092,23, 슬개골 (아) 탈구 ,근육 골격 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",471,7
Pomeranian(포메라이안),MN,2071,C_잠실ON,cc 구토 month month 단추. 어제 새벽. time 간격으로 번 구토. 오늘 밥은 잘 먹음. time 에 토함. 풀무원 퍼피 사료. 후코이단. 개껌. 닭가슴살. 어제 time 경 혈액 검사 전해질 문제 없음. 어제 time 경 맥주 소량 핥아 먹음. plan 내일 단식하고 내원시 초음파 후 단추로 강력히 의심되면 내시경 진행하기로. 초음파 예약 time . ,,1, 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,구토(급성/만성),구토(급성/만성),206,0
British Shorthair Cat(브리티쉬 숏헤어 고양이),MN              ,2046,G_부천이지,구토 식욕부진등의 소화기 증상 없음 방사선상 위내 고음영의 이물 저류상태 재확인시 비슷한 위치 이물 확인 내시경 외과적인 방법으로 이물 제거 요망 e 내시경 진행후 내시경으로 빼지 못할 상황일 경우 위절개 진행 내시경 동의서 작성 완료 추가시술 이물제거 수술 동의 비용안내 완료 내시경만으로 이물 제거시 점막손상 여부에따라 당일퇴원 혹은 입원 필요할 수 있음 수술 진행되면 장기 입원 가능성 안내 주치의 황원장님 출근 가능시간 고려해서 진행 진행시 연락 드리기로 수술명 내시경 위절개 위내 이물제거. 술전검사 결과 특이사항 chemistry cbc electrolyte ray sono b.p 수술전 처치 항생제 세파 진통제 트라마돌 fluid ns 마취종류 호흡마취 isoflurane 기타 위점막 궤양부 확인. 내시경 통한 이물제거 시도했으나 털이 뭉쳐있는 형태의 이물 grip 실패. 위절개술 실시 하여 이물제거 분홍 고무줄 머리끈 형태의 선형 이물 주변으로 털들이 단단하게 뭉쳐진 형태. 항생 진통제 처치. cefotaxime time kg tid metronidazole time kg bid famotidine time kg bid tramadol time kg tid hr 금식. 일주간 입원처치. 식이 구토 배변 확인. ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,635,10
Yorkshire Terrier(요크셔 테리어),M               ,2091,E_24시아이, 어제 오후부터 소변에 피가 보였음. 혈괴 중성화 안했음. month 전에 구토해서 병원 간적 있고 주사 맞고 좋아졌음. 식욕 좋고 설사 없음. x ray 초음파 결석은 보이지 않음. 소변직접도말검사 슬러지 많음. 요스틱 ph높음 마취 후 방광플러싱 실시 수컷중성화 졸레틸 timeinj ce 결석이 관찰되지는 않지만 추후 방광결석이 생길 가능성이 높습니다. 후처치 회 수납완료 내복약 month 분 보호자분 사료 사신다고 하면 유리너리 o로 ,,8, 방광염 , 비뇨기과 질환 ,혈뇨,혈뇨,248,13
Pomeranian(포메라이안),MN,2193,D_VIP, money 선결제 송이 집에서 컨디션 이상 없었음. gc b.a.r normal skin turgor ms 우측 elbow joint 굴신 운동시 통증 호소 rt. forelimb lameness laboratory exam cbc n.r.f chem ea n.r.f 방사선검사 comment 흉부 양호 ct검사 phyeal fracture of olecranon tuber rt. comment 우측 olecranon tuber의 성장판 위치의 골절 골편의 앞쪽 외측으로의 변위 확인됨 anconeal process coronoid process 정상 triceps brachii muscle 의 일부 갈래 long head susp. 가 골편과 연결성을 보임 근골격계초음파 comment 변위된 olecranon tuber 골편에 triceps brachii muscle의 ligament long head 가 부착되어 있는 것이 확인되었으며 수술적 교정 추천됨 radiologist 이현아 dvm ms vip동물의료센터 영상의학과 과장 direct tel 내선 mail vip radiology vipah.co.kr dx rt. olecranon physeal fx sh type 우측 olecranon의 성장판 골절로 인한 파행증. 수술적 교정 필요하지만 이미 수상한지 여일이 지난 시점을 감안하여 prp 등 골유합 촉진을 위한 추가적인 치료가 요구됨. 보호자 사정으로 인해 금일 하루 입원 관리 후 내일 오후 골절 수복 및 고정 수술 진행 예정 tension band wiring prp 입원 수액 s 유지속도 입원 주사처치 tx famotidine time kg iv bid rx firocoxib time kg po sid 저녁 투약 ce 금일 ct 검사 결과 엑스레이에서 보였던 골절 부위 이외 다른 부분의 이상은 관찰되지 않았습니다. 다행히 생각만큼 복잡한 상황은 아니지만 골절 수복을 위한 뼈가 매우 작아 충분한 고정력을 유지하기 위한 여러 노력들이 필요할 것으로 보입니다. 자세한 수술 상담은 내일 내원시 드리도록 하겠습니다. ,,4, 골절 (앞발) ,근육 골격 질환 ,통증,통증,1035,12
Schnauzers( 슈나우져),F,2092,D_VIP, cc 혈뇨 피부질환 hpi 약 두달전에 생리함 생리 끝날무렵 미용함 이후 피부에 각질 유사 피부증상 보임 약 한달반전부터 엉덩이 주변 핥고 뇨에 피가 섞임 month 전 로이동물병원 방문하여 별다른 검사 없이 생리에 대한 잔여 영향으로 섞여 혈뇨인것같다라고 들으심 당시 피부 이전에는 피가 조금씩 묻어있는 양상이었지만 어제는 다량의 혈뇨 관찰됨 뇨량 오줌이랑 전반적으로 섞여있는양상 배뇨 자세를 여러번 보이고 화장실을 자주 왔다갔다하며 안절부절 못함 증상 보이는 시점 주변 특별히 잘못먹은건 없음 심장사상충 예방 안하심 호흡은 다소 양호한편이나 간헐적인 켁켁거리는 증상 보임 평소 뇨를 참는 성격아님 항문낭 평소에 잘 안짜주심 phi med month 전 로이에서 피부약 처방받음 sur tru vac 기초 boosting diet dog 랑 month 전에 사료 변경 피부 저알러지사료 eh indoor with 마리 푸들 사이 좋지않음 systemic gen 활력 및 식욕 양호 음수력 양호 skin 지루성 피부질환 들으심 nervous eent 눈은 평소 안좋음 res cv gi ur for this symptom rep 생리 한달반전 종료 뇨검사 염증 세포 및 구균 확인됨 복부초음파 full scan imaging dx ddx renal cyst urolithiasis cystitis comment 우측 신장의 . time 크기의 낭포 확인됨 그 외 신장의 크기 모양 피질에코 양호 방광 벽 비후 time 및 방광 내 다수의 거대 결석 확인됨 radiologist 이현아 dvm ms cystitis urolithiasis 혈뇨를 주증으로 내원한 환자로 금일 영상 검사상 방광내 큰 크기의 결석 개 관찰되며 현재 폐색을 유발하지 않음 방광벽 심한 비후 확인되었음 뇨 검사상 다수의 염증세포 및 구균 확인되었음 수술적 제거로 방광염의 원인인 방광결석 제거 필요 안내드렸으나 보호자님 심한 비용 부담으로 내복약 처치만 원하심 방광염에 대한 대증처치 처방함 보호자님 상태 모니터링후 재내원 예정 ,방광염,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,1010,13
Jack Russell Terrier(잭 러셀 테리어),F,2182,B_W,밤중에 몸을 떨면서 숨을 몰아쉼 이틀전부터 밥도 안먹고 걷는 것을 힘들어함 전체적으로 기운이 없어보이고 계단을 잘 안올라가려고 함 평소 산책을 한시간정도 함 최근 이틀동안 식욕이 많이 떨어져 있으나 간식은 먹음 부들부들 떨고 있어서 손만 댔는데 비명을 지르는 행동을 보임 걸을때는 꼬리를 잘 들고 있음 평상시에도 꼬리를 들고 있는 편임 ,,4, 허리 척추염 ,근육 골격 질환 ,통증,통증,188,12
A.Cocker Spaniel(아메리카 코커),F,2126,C_잠실ON,새벽 두시에 시골길에서 발견해서 집으로 데려옴 사료를 먹지않아서 설탕물 먹임 기운없이 늘어져있어서 내원 혈뇨 방광염소견. 내강에 슬러지 확인. status epilepticus 내원후 경부터 발작 시작. 집에서부터 전조증상 있었음. time 이상 멈추지않고 지속. tx dz time kg im 회 이후 propofol cri cepha sc tramadol iv 수액 d vitb vitc taurin 보호자 상담 용 . mri는 보류해놓은 상태. 정확한 진단이 나지 않은 상황에서 위험성을 안고 치료하고 있음 고지. 경기도에서 발견하여 데리고 오셨으며 법적 절차 문제로 해당 시 군청에 유기견 신고를 해 놓고 치료할것을 권해드렸으나 보호자분 원치 않으셔서 책임하에 치료 해달라고 말씀하심. 정오부터 propofol cri로 들어가고 있으며 속도 time hr 로 조절중. 중간중간 포폴 스톱하여 보았으나 증상 개선되지 않아 유지 중. 금일 밤 time 경 다시한번 항경련제 끊어볼 예정. tx. mpss time kg tid. mannitol kg sid cepha enro. time 경 통화 시도 하였으나 보호자분 통화 안됨. ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,579,6
Maltese(말티즈),MN              ,2001,G_부천이지,오전 time time 자발 음수 호흡수 증가 회 분 보행 가능 호흡수 오전 time 회 오전 time 회 오전 time 회 오전 time 회 오전 time 회 오전 time 회 오전 time 회 오전 time time 회 라식스 처치 오전 time time time time 처치 산소 공급 라식스 time kg dobutamin cri nitroprusside cri enoxaparine money cc kg tid 세파 time kg 파모티딘 time kg tid 엔로 time kg sid 내복약 에날라프릴 time kg 라식스 time kg 스피로락톤 time kg 피모벤단 time kg 실데나필 time kg bid radiographic findings thorax mild bronchio interstitial alveolar pattern is visible in caudal lung lobes. bilateral pulmonary artery are dilated. cardiac axis is deviated to the right from the vd view. abdomen small intestines are flilled with fluid. radiopaque materials are visible in the bilateral kidneys. appendicular skeleton misc. ultrasonographic findings anechoic cyst is visible in the liver. bilateral kidneys echogenecity are moderately increased with multiple anechoic cysts. honey comb pattern is visible in the spleen. echocardiogphraphic findings normal a high margin em low margin em am normal systolic function contractility lv geometry normal la pressure over time sec mitral regurgitation dilated and regurgitation of pa 오전관리사항 food d 식욕없음 urine feces etc tx 오후관리사항 food d 식욕없음 urine feces etc 낮 time 구토 회 tx cefazolin time kg iv famotidine time kg iv enrofloxacin time kg sc enoxaparin money cc kg iv ,,14, 판막증 (의심 포함한 심장 잡음 + 심부전 증후 자), 순환기 질환 ,호흡곤란,호흡곤란,1275,14
K.C(Korean Cat),FS              ,2178,G_부천이지,식욕부진 구토하려고함 다른병원에서 time 전에 검진받았는데 입속은 깨끗했다고 함 상담만 받고 오셨다고함 month 전에 길냥이 입양 month 간 식욕 저하 구토 또는 헛구역질 하얀 거품 구토 이전에 사료 캔 먹임 최근 민감 해짐 pe 잇몸 염증 구취 검사 혈액 검사 방사선 검사 초음파 검사 처치 수액 처치 암피실린 time kg 내복약 처방 독시사이클린 time kg 로도질정 time kg 트라마돌 time kg 파모티딘 time kg bid ,,"1,21", 구내염 / 설염 ,치아 및 구강 질환 ,"구토(급성/만성),식욕부진, 식욕저하",구토(급성/만성),252,2
Shih Tzu(시추),MN              ,2046,F_센트럴,cc time 양 등뼈 섭식후 흉부 식도 걸림 바우미우에서 방사선 혈검 후 내원 crp tx 내시경하 이물 위내로 밀어 넣음 ce 추후 month 간 식도염증에 의한 천공 가능성 있음 금번 치료 이후 식도 섬유화로 식도폐색 유발가능 구토증상 propofol time ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,149,10
K.C(Korean Cat),MN,2133,D_VIP,s 배뇨는 가능하나 배변은 힘듬. 정상배변 어제 소량 식욕부진 time 부터 다리가 불편하기 시작하여 어제는 매우 심해짐. 다리를 쭉 펴고 보행. 항생제 진통제 처치에도 반응 없이 더 악화됨. 차 접종만. 다 잘먹는 아이. bt positional reflex 반응없음 반사감소 정상 preprioception fr fl rr rl anus reflex 애매함. deep pain 촉진시 매우 아파함 사지 냉감 없음. 오히려 열감 양안 통증 있음. iop odos felv fiv neg. fcov pos. cbc mild leukocytosis chem nrf elect mild hyperkalemia saa normal range 방사선 nrf 복부초음파 full scan by joohee findings 복막염 소견 확인되나 복수는 확인되지 않음 혈관반응이 없는 hypoechoic foci가 비장 내에 산재되어 있음 양측 신장 에코 상승 확인되며 우측 신장의 아주 소량의 perirenal fluid 확인됨 불규칙한 방광벽 확인되나 벽 두께는 양호함 우측 요추하 림프절이 중증도 비대 확인됨 time . 이외에 미약한 복강 내 림프절 비대 imaging dx ddx peritontitis fip dry type systemic infection lymphoma lymphadenopathy nephritis perirenal fluid cystitis ddx. 신경계질환 뇌 척추 fip mri 검사 진행 안내드렸으나 일단 보류하고 치료먼저 진행해보기로. 신경증상 진행속도가 워낙 빨라 내복약 복용하면서도 발작 등의 더 진행된 신경증상 발생 가능성 있음. 너무 좋지 않을 경우 퇴원 또는 안락사 진행도 상담드림. fip 신경계질환에 준한 치료 pds 진행. saa 신경계검사 ,,23, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",889,7
K.C(Korean Cat),F,2267,C_잠실ON,cc 구토 설사 오늘 오후 time 경 첫 구토. 그 후로 time 텀으로 구토. 구토에 동거견 개사료도 나옴. 초반에는 붉으스름한 빛 구토도 나왔음. 로얄캐닌 사료. 참치캔 평소에 먹이심 묽은 설사도 같이. 예방접종은 차까지 완료. 사상충은 같이 진행. 후라이드 치킨을 먹었을수도 있는데 정확히는 모르겠다고. 식욕은 완전 좋은 편이었으나. 구토 후에는 식욕 떨어짐. 물은 잘 먹는데 물 먹고 다시 구토. . 범백 키트 검사 음성 . 입원처치 후에 증상 호전 안되면 초음파 보기로. 현재플랜에는 초음파 안잡혀있지만 초음파 비용까지는 고지해드렸음. 퇴원은 구토 설사 어느정도 멈추면 퇴원시키기로. ,,"1,2", 고양이 복막염 · FIP ,전신성의 질환,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),333,1
친칠라,MN,2046,D_VIP, money 결제하셨습니다. 미리 어제 오전부터 구토 증상 보임. 토사물에 비닐 휴지등 나옴. 어제 밤까지 비닐들 계속 토하고 나중에는 묽은 위액만 나옴. 원래 식탐이 많은 아이라서 평상시에 재활용 봉투같은거 찢어놓음. 어제 점심부터 사료도 거의 안먹음. 오늘 오전에는 갈색 연변봄. 복부초음파 full scan by hyuna findings 위내 gastric body 강하게 shadowing 나타내는 물질 관찰됨 소장의 전반적인 미약한 확장 관찰됨 공장림프절의 종대 및 에코 저하 imaging dx ddx gastric foreign body gastroenteritis reactive lymphadenopathy 내일 초음파 재검 후 위 내 이물소견 여전히 관찰되면 내시경예정. ,위장염,"1,2", 소화관 이물 / 섭취 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),387,1
Poodles(푸들),MN,2046,B_W,hx 보호자가 외출했을 때 젤리 다량 먹고 나서 구토 포장지는 먹지 않음 보호자가 돌아와서 여러 곳에 구토 흔적 있는 것 발견 젤리 원재료에 포도 농축물 포함되어 있음 pe bar hr bpm rr time pm bt crt sec normal skin turgor normal pupil size pupillary light reflex ou abdominal ray ingesta and fluid distended stomach bloodwork cbc within normal limits hematocrit near the upper limit of normal chemistry mildly increased ast electrolytes mild hypokalemia increased na ratio blood gas ph pco chco etc. tx hydrogen peroxide solution time kg po for emesis induction 구토 유발하여 위 내 젤리 사료 액체 나옴 구토물에서 젤리의 과일 향기가 많이 남 구토 유도 후 흡착제 위장관보호제 등 약물 처방 수액 요법 등 입원 치료 권고하였으나 보호자가 집이 멀어 원하지 않음 ce 사흘 후 집 근처 동물병원에서 신장 관련 혈액 검사받도록 권고 물 많이 주고 배뇨 상태 지켜보기 배뇨량 감소 있을 경우 문의 및 내원 tx cimetidine time kg sc maropitant time kg sc kremezintime dog po sucralfate suspension dog time dog po rx kremezintime dog bid po fordays sucralfate suspension dog time dog bid po fordays ,젤리 과량 섭취,1, 소화관 이물 / 섭취 , 소화기 질환 ,구토(급성/만성),구토(급성/만성),869,0
Poodles(푸들),F,2071,C_잠실ON,cc 지난 day 저녁 치킨을 먹던 도중 치킨과 뼈 일부를 먹음 day 아침에 회 구토. 그 이후 식욕절폐 설사는 없음. 세레니아 투여 후 조영제 먹고 구토함. 조여제 먹기 전에도 구토를 보임 ,,1, 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,구토(급성/만성),구토(급성/만성),108,0
K.D(Korean Dog),M,2037,A_라라,컹컹거리고 켁켁거리는 증상 있음. 여러번 보심. 새벽마다 사무실가는데 처음에는 좋아서 그러는줄 아셨음. ,,5,,,기침,기침,58,4
Mixed(혼합),F               ,2087,G_부천이지,시흥 박한준동물병원 의뢰환자 십자인대 ctwo 수술 후 신부전환자 병원 한메일로 검사자료 보내셨음. 현재 신장수치 bun crea month time 경 십자인대수술 경골절골법 술전 신장수치 이상무. 술후 month 후 bun상승 crea 수액처치 술후 month 후 신장수치 정상후 퇴원 술후 month 차 신부전증상 bun crea 집에서 주로 사람음식 먹고 자랐으며 포도알 알섭식 평소 포도알 자주 먹었다고 함 c.c 식욕결핍 구토 hpi 십자인대 수술 이후 식욕결핍 물만 먹어도 구토 온몸 떨고 panting 심함 수술 이후에 식욕이 없어 보호자분께서 포도를 먹이셨음 phi 평상시 사람 음식 및 간식 다량 먹어왔음 포도 짜장면 등도 예전부터 먹이셨음 o. 혈액검사 severe azotemia anemia wbc 상승 crp 상승 dimer 상승 간수치 상승 고지혈증 cpl kit strong pos. 뇨검사 당검출 단백검출 저비중뇨 방사선 복부 우측 상복부 음영 hazy함 초음파 담낭내 슬러지 간 우측 중엽 밀도 증가 고에코의 원형의 종괴 양측 신장 에코 상승 수신 확장 corticomedullary definition 없음 다수의 낭포 좌측 부신 종대 및 corticomedullary definition 없음 우측 부신 에코 저하 및 고에코 부분 확인 췌장 mixed echo 미약한 부종 a. 만성신부전 췌장염 간내 mass 보호자 상담 저혈당임에도 불구하고 뇨에서 당 검출되는 상황으로 세뇨관 손상 심한 것으로 사료되며 포도의 영향이 컸을 것을 생각됨. 예후 안 좋아질 가능성 충분히 있고 사망가능성도 있음 고지함 ,"2082, 2084","1,21", 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,"구토(급성/만성),식욕부진, 식욕저하",구토(급성/만성),805,2
